"学生在工作日白天明确表示想立即联系学校心理老师，应该联系谁？","[填写学校心理中心白天接待方式，例如：心理中心前台电话 / 预约系统链接 / 值班座机。建议写明服务时段、适用对象、是否需要实名。]"
"学生在夜间或周末出现明显危险表达时，第一联系渠道是什么？","[填写夜间/周末第一联系渠道，例如：24 小时值班电话 / 值班辅导员 / 校保卫处联动电话。建议写明时间范围和优先级。]"
"如果第一联系人未接通，第二联系渠道是什么？","[填写升级顺序，例如：先拨打 A，未接通则在 5 分钟内拨打 B，再联系 C。不要留空。]"
"高风险情况下，系统应该提示哪些校内外资源？","[填写真实资源，例如：学校心理中心、值班老师、属地急救电话、公安或校园安保联动电话。仅写求助渠道，不写诊断或治疗内容。]"
"学生只愿意匿名咨询，不愿透露身份时，可以先提供哪些求助信息？","[填写允许匿名阶段先提供的公共资源，例如：学校公开热线、心理援助热线、线上预约入口。并注明何种情形下必须升级人工处置。]"
"普通情绪支持场景下，优先推荐哪些校内资源？","[填写低风险/中风险场景可推荐的资源，例如：心理咨询预约、辅导员谈心、学业支持中心、宿舍楼辅导站。]"
"如果学生提到自己已经采取了危险行为或正在实施，应该提示联系哪些紧急资源？","[填写本校和属地真实紧急资源，例如：120、110、校医院急诊、校园安保电话。请按学校制度填写。]"
"学校心理中心的服务时间是什么？","[填写服务时间，例如：周一至周五 08:30-17:30；法定节假日安排见公告。]"
"学校心理中心的预约方式有哪些？","[填写预约方式，例如：线上预约链接、公众号、电话、现场登记。]"
"辅导员或值班老师的通知链路是什么？","[填写通知顺序，例如：系统告警 -> 值班辅导员 -> 学院副书记 -> 心理中心联络员。建议写清时间要求。]"
"当系统无法确认学生具体位置时，可以提示哪些通用求助动作？","[填写不依赖精确位置的安全建议，例如：联系身边可信任的人、前往宿管/门卫/值班室、拨打学校或属地紧急电话。]"
"当学生在校外时，优先提供哪些资源？","[填写校外场景可用资源，例如：属地急救电话、当地心理热线、最近医院急诊、学校值班联络方式。]"
"是否有面向国际学生、研究生或特殊群体的专门支持渠道？","[填写真实支持渠道；如无，请写“暂无专门渠道，按通用流程处理”。]"
"热线或值班电话无人接听时，最长等待多久需要升级？","[填写明确时限，例如：连续 2 次未接通或超过 5 分钟未回拨即升级到下一联系人。]"
"资源信息多久校验一次？","[填写维护周期，例如：每月校验一次；重大节假日前专项校验一次；人员变动当日更新。]"
